M¢dulo de An lise: Origem de Dados da Coleta;;;;;;;
Data de solicita‡Æo 09/11/2018;;;;;;;
Per¡odo Solicitado de 01/07/2018 at‚ 01/07/2018;;;;;;;
Agente;Ponto / Grupo;Data;Hora;Ativa C (kWh);Ativa G (kWh);Qualidade;Origem
RONDINHA;SCINVDUINVD01 (L);01/07/2018;1;0;11,00;Completo;COLETA DIµRIA
RONDINHA;SCINVDUINVD01 (L);01/07/2018;2;0;11,00;Completo;COLETA DIµRIA
RONDINHA;SCINVDUINVD01 (L);01/07/2018;3;0;11,00;Completo;COLETA DIµRIA
RONDINHA;SCINVDUINVD01 (L);01/07/2018;4;0;11,00;Completo;COLETA DIµRIA
RONDINHA;SCINVDUINVD01 (L);01/07/2018;5;0;11,00;Completo;COLETA DIµRIA
RONDINHA;SCINVDUINVD01 (L);01/07/2018;6;0;11,00;Completo;COLETA DIµRIA
RONDINHA;SCINVDUINVD01 (L);01/07/2018;7;0;11,00;Completo;COLETA DIµRIA
RONDINHA;SCINVDUINVD01 (L);01/07/2018;8;0;11,00;Completo;COLETA DIµRIA
RONDINHA;SCINVDUINVD01 (L);01/07/2018;9;0;11,00;Completo;COLETA DIµRIA
RONDINHA;SCINVDUINVD01 (L);01/07/2018;10;0;11,00;Completo;COLETA DIµRIA
RONDINHA;SCINVDUINVD01 (L);01/07/2018;11;0;11,00;Completo;COLETA DIµRIA
RONDINHA;SCINVDUINVD01 (L);01/07/2018;12;0;11,00;Completo;COLETA DIµRIA
RONDINHA;SCINVDUINVD01 (L);01/07/2018;13;0;11,00;Completo;COLETA DIµRIA
RONDINHA;SCINVDUINVD01 (L);01/07/2018;14;0;11,00;Completo;COLETA DIµRIA
RONDINHA;SCINVDUINVD01 (L);01/07/2018;15;0;11,00;Completo;COLETA DIµRIA
RONDINHA;SCINVDUINVD01 (L);01/07/2018;16;0;11,00;Completo;COLETA DIµRIA
RONDINHA;SCINVDUINVD01 (L);01/07/2018;17;0;11,00;Completo;COLETA DIµRIA
RONDINHA;SCINVDUINVD01 (L);01/07/2018;18;0;11,00;Completo;COLETA DIµRIA
RONDINHA;SCINVDUINVD01 (L);01/07/2018;19;0;11,00;Completo;COLETA DIµRIA
RONDINHA;SCINVDUINVD01 (L);01/07/2018;20;0;11,00;Completo;COLETA DIµRIA
RONDINHA;SCINVDUINVD01 (L);01/07/2018;21;0;11,00;Completo;COLETA DIµRIA
RONDINHA;SCINVDUINVD01 (L);01/07/2018;22;0;11,00;Completo;COLETA DIµRIA
RONDINHA;SCINVDUINVD01 (L);01/07/2018;23;0;11,00;Completo;COLETA DIµRIA
RONDINHA;SCINVDUINVD01 (L);01/07/2018;24;0;11,00;Completo;COLETA DIµRIA
