"Módulo de Análise: Origem de Dados da Coleta";
"Data de solicitação 09/11/2018";
"Período Solicitado de 01/07/2018 até 01/07/2018";
"Agente";"Ponto / Grupo";"Data";"Hora";"Ativa C (kWh)";"Ativa G (kWh)";"Qualidade";"Origem";
"RONDINHA";"SCINVDUINVD01 (L)";01/07/2018;1;0,000;1.206,926;"Completo";"COLETA DIÁRIA";
"RONDINHA";"SCINVDUINVD01 (L)";01/07/2018;2;0,000;1.212,166;"Completo";"COLETA DIÁRIA";
"RONDINHA";"SCINVDUINVD01 (L)";01/07/2018;3;0,000;1.210,931;"Completo";"COLETA DIÁRIA";
"RONDINHA";"SCINVDUINVD01 (L)";01/07/2018;4;0,000;1.206,922;"Completo";"COLETA DIÁRIA";
"RONDINHA";"SCINVDUINVD01 (L)";01/07/2018;5;0,000;1.211,526;"Completo";"COLETA DIÁRIA";
"RONDINHA";"SCINVDUINVD01 (L)";01/07/2018;6;0,000;1.212,948;"Completo";"COLETA DIÁRIA";
"RONDINHA";"SCINVDUINVD01 (L)";01/07/2018;7;0,000;1.208,675;"Completo";"COLETA DIÁRIA";
"RONDINHA";"SCINVDUINVD01 (L)";01/07/2018;8;0,000;1.211,278;"Completo";"COLETA DIÁRIA";
"RONDINHA";"SCINVDUINVD01 (L)";01/07/2018;9;0,000;1.214,375;"Completo";"COLETA DIÁRIA";
"RONDINHA";"SCINVDUINVD01 (L)";01/07/2018;10;0,000;1.210,606;"Completo";"COLETA DIÁRIA";
"RONDINHA";"SCINVDUINVD01 (L)";01/07/2018;11;0,000;1.208,782;"Completo";"COLETA DIÁRIA";
"RONDINHA";"SCINVDUINVD01 (L)";01/07/2018;12;0,000;1.217,303;"Completo";"COLETA DIÁRIA";
"RONDINHA";"SCINVDUINVD01 (L)";01/07/2018;13;0,000;1.213,558;"Completo";"COLETA DIÁRIA";
"RONDINHA";"SCINVDUINVD01 (L)";01/07/2018;14;0,000;1.210,458;"Completo";"COLETA DIÁRIA";
"RONDINHA";"SCINVDUINVD01 (L)";01/07/2018;15;0,000;1.213,918;"Completo";"COLETA DIÁRIA";
"RONDINHA";"SCINVDUINVD01 (L)";01/07/2018;16;0,000;1.213,436;"Completo";"COLETA DIÁRIA";
"RONDINHA";"SCINVDUINVD01 (L)";01/07/2018;17;0,000;1.207,771;"Completo";"COLETA DIÁRIA";
"RONDINHA";"SCINVDUINVD01 (L)";01/07/2018;18;0,000;1.211,404;"Completo";"COLETA DIÁRIA";
"RONDINHA";"SCINVDUINVD01 (L)";01/07/2018;19;0,000;1.210,045;"Completo";"COLETA DIÁRIA";
"RONDINHA";"SCINVDUINVD01 (L)";01/07/2018;20;0,000;1.204,922;"Completo";"COLETA DIÁRIA";
"RONDINHA";"SCINVDUINVD01 (L)";01/07/2018;21;0,000;1.212,920;"Completo";"COLETA DIÁRIA";
"RONDINHA";"SCINVDUINVD01 (L)";01/07/2018;22;0,000;1.208,886;"Completo";"COLETA DIÁRIA";
"RONDINHA";"SCINVDUINVD01 (L)";01/07/2018;23;0,000;1.204,403;"Completo";"COLETA DIÁRIA";
"RONDINHA";"SCINVDUINVD01 (L)";01/07/2018;24;0,000;1.212,106;"Completo";"COLETA DIÁRIA";
