"Módulo de Análise: Origem de Dados da Coleta";
"Data de solicitação 08/11/2018";
"Período Solicitado de 01/01/2018 até 08/11/2018";
"Agente";"Ponto / Grupo";"Data";"Hora";"Ativa C (kWh)";"Ativa G (kWh)";"Qualidade";"Origem";
"RONDINHA";"SCINVDUINVD01 (L)";01/01/2018;1;0,000;1.200,422;"Completo";"COLETA DIÁRIA";
"RONDINHA";"SCINVDUINVD01 (L)";01/01/2018;2;0,000;1.200,344;"Completo";"COLETA DIÁRIA";
"RONDINHA";"SCINVDUINVD01 (L)";01/01/2018;3;0,000;1.200,409;"Completo";"COLETA DIÁRIA";
"RONDINHA";"SCINVDUINVD01 (L)";01/01/2018;4;0,000;1.200,839;"Completo";"COLETA DIÁRIA";
"RONDINHA";"SCINVDUINVD01 (L)";01/01/2018;5;0,000;1.200,603;"Completo";"COLETA DIÁRIA";
"RONDINHA";"SCINVDUINVD01 (L)";01/01/2018;6;0,000;1.201,325;"Completo";"COLETA DIÁRIA";
"RONDINHA";"SCINVDUINVD01 (L)";01/01/2018;7;0,000;1.201,893;"Completo";"COLETA DIÁRIA";
"RONDINHA";"SCINVDUINVD01 (L)";01/01/2018;8;0,000;1.201,698;"Completo";"COLETA DIÁRIA";
"RONDINHA";"SCINVDUINVD01 (L)";01/01/2018;9;0,000;1.201,352;"Completo";"COLETA DIÁRIA";
"RONDINHA";"SCINVDUINVD01 (L)";01/01/2018;10;0,000;1.201,361;"Completo";"COLETA DIÁRIA";
"RONDINHA";"SCINVDUINVD01 (L)";01/01/2018;11;0,000;1.201,549;"Completo";"COLETA DIÁRIA";
"RONDINHA";"SCINVDUINVD01 (L)";01/01/2018;12;0,000;1.200,801;"Completo";"COLETA DIÁRIA";
"RONDINHA";"SCINVDUINVD01 (L)";01/01/2018;13;0,000;1.201,625;"Completo";"COLETA DIÁRIA";
"RONDINHA";"SCINVDUINVD01 (L)";01/01/2018;14;0,000;1.201,290;"Completo";"COLETA DIÁRIA";
"RONDINHA";"SCINVDUINVD01 (L)";01/01/2018;15;0,825;1.111,782;"Completo";"COLETA DIÁRIA";
"RONDINHA";"SCINVDUINVD01 (L)";01/01/2018;16;0,000;1.202,031;"Completo";"COLETA DIÁRIA";
"RONDINHA";"SCINVDUINVD01 (L)";01/01/2018;17;0,000;1.201,575;"Completo";"COLETA DIÁRIA";
"RONDINHA";"SCINVDUINVD01 (L)";01/01/2018;18;0,000;1.201,844;"Completo";"COLETA DIÁRIA";
"RONDINHA";"SCINVDUINVD01 (L)";01/01/2018;19;0,000;1.201,892;"Completo";"COLETA DIÁRIA";
"RONDINHA";"SCINVDUINVD01 (L)";01/01/2018;20;0,000;1.200,615;"Completo";"COLETA DIÁRIA";
"RONDINHA";"SCINVDUINVD01 (L)";01/01/2018;21;0,000;1.199,574;"Completo";"COLETA DIÁRIA";
"RONDINHA";"SCINVDUINVD01 (L)";01/01/2018;22;0,000;1.200,506;"Completo";"COLETA DIÁRIA";
"RONDINHA";"SCINVDUINVD01 (L)";01/01/2018;23;0,000;1.200,716;"Completo";"COLETA DIÁRIA";
"RONDINHA";"SCINVDUINVD01 (L)";01/01/2018;24;0,000;1.200,673;"Completo";"COLETA DIÁRIA";
"RONDINHA";"SCINVDUINVD01 (L)";02/01/2018;1;0,000;1.200,749;"Completo";"COLETA DIÁRIA";
"RONDINHA";"SCINVDUINVD01 (L)";02/01/2018;2;0,000;1.200,869;"Completo";"COLETA DIÁRIA";
